timestamp,mac,rawData,acc
2025-08-23T21:58:44.663Z,C300001DA91C,0201060303E1FF1216E1FFA103640007FFF600F31CA91D0000C3,"{'x': 1792, 'y': -2305, 'z': -3328}"
2025-08-23T21:58:44.562Z,C300001DA91C,0201060303E1FF1216E1FFA103640007FFFB00FA1CA91D0000C3,"{'x': 1792, 'y': -1025, 'z': -1536}"
2025-08-23T21:58:44.360Z,C300001DA91C,0201060303E1FF1216E1FFA103640005FFF400FA1CA91D0000C3,"{'x': 1280, 'y': -2817, 'z': -1536}"
2025-08-23T21:58:44.259Z,C300001DA91C,0201060303E1FF1216E1FFA103640007FFFE01001CA91D0000C3,"{'x': 1792, 'y': -257, 'z': 1}"
2025-08-23T21:58:44.107Z,C300001DA91C,0201060303E1FF1216E1FFA103640002FFF400FA1CA91D0000C3,"{'x': 512, 'y': -2817, 'z': -1536}"
2025-08-23T21:58:44.107Z,C300001DA91C,0201060303E1FF1216E1FFA103640002FFF100F51CA91D0000C3,"{'x': 512, 'y': -3585, 'z': -2816}"
2025-08-23T21:58:43.814Z,C300001DA91C,0201060303E1FF1216E1FFA103640007FFF600F81CA91D0000C3,"{'x': 1792, 'y': -2305, 'z': -2048}"
2025-08-23T21:57:48.256Z,C300001DA912,0201060303E1FF1216E1FFA1036400050002FEFE12A91D0000C3,"{'x': 1280, 'y': 512, 'z': -258}"
2025-08-23T21:57:48.155Z,C300001DA912,0201060303E1FF1216E1FFA1036400350002FEF412A91D0000C3,"{'x': 13568, 'y': 512, 'z': -2818}"
2025-08-23T21:57:48.064Z,C300001DA912,0201060303E1FF1216E1FFA10364000C0000FF0012A91D0000C3,"{'x': 3072, 'y': 0, 'z': 255}"
2025-08-23T21:57:47.812Z,C300001DA912,0201060303E1FF1216E1FFA103640011FFFEFF0012A91D0000C3,"{'x': 4352, 'y': -257, 'z': 255}"
2025-08-23T21:57:47.762Z,C300001DA912,0201060303E1FF1216E1FFA10364000CFFFEFEF912A91D0000C3,"{'x': 3072, 'y': -257, 'z': -1538}"
2025-08-23T21:57:47.661Z,C300001DA912,0201060303E1FF1216E1FFA103640007FFFEFEFE12A91D0000C3,"{'x': 1792, 'y': -257, 'z': -258}"
2025-08-23T21:57:47.509Z,C300001DA912,0201060303E1FF1216E1FFA103640000FFF9FEF412A91D0000C3,"{'x': 0, 'y': -1537, 'z': -2818}"
2025-08-23T21:57:47.358Z,C300001DA912,0201060303E1FF1216E1FFA10364001C0011FE9012A91D0000C3,"{'x': 7168, 'y': 4352, 'z': -28418}"
2025-08-23T20:58:27.357Z,C300001DA91C,0201060303E1FF1216E1FFA10364FFFBFFEF00F51CA91D0000C3,"{'x': -1025, 'y': -4097, 'z': -2816}"
2025-08-23T20:58:27.155Z,C300001DA912,0201060303E1FF1216E1FFA103640019000FFEF612A91D0000C3,"{'x': 6400, 'y': 3840, 'z': -2306}"
2025-08-23T20:58:27.155Z,C300001DA91C,0201060303E1FF1216E1FFA10364FFF9FFF600F81CA91D0000C3,"{'x': -1537, 'y': -2305, 'z': -2048}"
2025-08-23T20:58:27.105Z,C300001DA912,0201060303E1FF1216E1FFA103640011001CFEFE12A91D0000C3,"{'x': 4352, 'y': 7168, 'z': -258}"
2025-08-23T20:58:27.105Z,C300001DA91C,0201060303E1FF1216E1FFA10364FFF1000001001CA91D0000C3,"{'x': -3585, 'y': 0, 'z': 1}"
2025-08-23T20:58:26.963Z,C300001DA912,0201060303E1FF1216E1FFA10364FFF1005CFEFE12A91D0000C3,"{'x': -3585, 'y': 23552, 'z': -258}"
2025-08-23T20:58:26.913Z,C300001DA91C,0201060303E1FF1216E1FFA103640028006301231CA91D0000C3,"{'x': 10240, 'y': 25344, 'z': 8961}"
2025-08-23T20:43:15.114Z,C300001DA912,0201060303E1FF1216E1FFA103640002FFF9FEF412A91D0000C3,"{'x': 512, 'y': -1537, 'z': -2818}"
2025-08-23T20:43:14.963Z,C300001DA912,0201060303E1FF1216E1FFA10364FFF6FFFBFF0012A91D0000C3,"{'x': -2305, 'y': -1025, 'z': 255}"
2025-08-23T20:43:14.812Z,C300001DA912,0201060303E1FF1216E1FFA10364004A000AFF9512A91D0000C3,"{'x': 18944, 'y': 2560, 'z': -27137}"
