Timestamp,ACC_91C,ACC_912
2025-08-20T21:41:49.364Z,"{""x"": -9473, ""y"": 6399, ""z"": -22528}","{""x"": 27392, ""y"": 7679, ""z"": 30462}"
2025-08-20T21:41:49.617Z,"{""x"": -23809, ""y"": 23295, ""z"": -6914}","{""x"": 29952, ""y"": 20735, ""z"": -9984}"
2025-08-20T21:41:49.717Z,"{""x"": -22017, ""y"": 27135, ""z"": 12799}","{""x"": 29952, ""y"": 21247, ""z"": -3328}"
2025-08-20T21:41:50.121Z,"{""x"": 32511, ""y"": 13567, ""z"": 25855}","{""x"": -30976, ""y"": 17407, ""z"": -17152}"
2025-08-20T21:41:50.566Z,"{""x"": -28417, ""y"": 31231, ""z"": -25857}","{""x"": -26368, ""y"": 23295, ""z"": -5376}"
2025-08-20T21:41:50.969Z,"{""x"": -16641, ""y"": 7679, ""z"": -14081}","{""x"": 20224, ""y"": 12287, ""z"": -17409}"
2025-08-20T21:41:54.018Z,"{""x"": -23808, ""y"": -14594, ""z"": 22784}","{""x"": 25855, ""y"": -12802, ""z"": -21249}"
2025-08-20T21:41:55.667Z,"{""x"": -9216, ""y"": -24577, ""z"": -28417}","{""x"": 16639, ""y"": -25857, ""z"": 1280}"
2025-08-20T21:41:55.768Z,"{""x"": -7424, ""y"": -23809, ""z"": -22529}","{""x"": -28417, ""y"": -21249, ""z"": 21504}"
2025-08-20T21:41:55.869Z,"{""x"": -3328, ""y"": -24577, ""z"": -20481}","{""x"": 9471, ""y"": -25857, ""z"": -20992}"
2025-08-20T21:41:56.071Z,"{""x"": -10496, ""y"": -26369, ""z"": 18687}","{""x"": 16127, ""y"": -26369, ""z"": 32000}"
2025-08-20T21:41:56.214Z,"{""x"": -768, ""y"": -11521, ""z"": -17920}","{""x"": 31231, ""y"": -29185, ""z"": -9473}"
2025-08-20T21:41:56.365Z,"{""x"": 24832, ""y"": 30463, ""z"": -2818}","{""x"": 14848, ""y"": 255, ""z"": -767}"
2025-08-20T21:41:56.617Z,"{""x"": -15872, ""y"": -29697, ""z"": -24577}","{""x"": 16127, ""y"": -29697, ""z"": 22784}"
2025-08-20T21:41:57.021Z,"{""x"": 14848, ""y"": -6145, ""z"": 26622}","{""x"": 27903, ""y"": -15361, ""z"": -11264}"
2025-08-20T21:41:57.163Z,"{""x"": -15104, ""y"": -21249, ""z"": 22015}","{""x"": 22783, ""y"": -22529, ""z"": -25600}"
2025-08-20T21:41:57.364Z,"{""x"": 18177, ""y"": -19201, ""z"": -31745}","{""x"": -1538, ""y"": -21249, ""z"": -27648}"
2025-08-20T21:41:58.216Z,"{""x"": -17920, ""y"": -32513, ""z"": 18687}","{""x"": 20735, ""y"": 27135, ""z"": -28416}"
2025-08-20T21:41:58.918Z,"{""x"": 22272, ""y"": -9473, ""z"": -27648}","{""x"": 7680, ""y"": -8706, ""z"": -23040}"
2025-08-20T21:41:59.264Z,"{""x"": 14848, ""y"": 14848, ""z"": -18431}","{""x"": -18689, ""y"": 30720, ""z"": -2306}"
2025-08-20T21:41:59.570Z,"{""x"": 1280, ""y"": 1022, ""z"": -17410}","{""x"": -29185, ""y"": -17922, ""z"": 28160}"
2025-08-20T21:42:00.064Z,"{""x"": -19712, ""y"": 31231, ""z"": -3585}","{""x"": 18687, ""y"": 7679, ""z"": -5633}"
2025-08-20T21:42:00.213Z,"{""x"": -24320, ""y"": 16639, ""z"": -4865}","{""x"": -27137, ""y"": -13313, ""z"": -27648}"
2025-08-20T21:42:00.667Z,"{""x"": -18432, ""y"": -4608, ""z"": -5633}","{""x"": 14079, ""y"": -24320, ""z"": 13568}"
2025-08-20T21:42:00.716Z,"{""x"": -30208, ""y"": 512, ""z"": -4097}","{""x"": 10751, ""y"": -4865, ""z"": 18176}"
2025-08-20T21:42:00.865Z,"{""x"": -16384, ""y"": -17921, ""z"": -26369}","{""x"": 16639, ""y"": -17409, ""z"": 24832}"
2025-08-20T21:42:01.162Z,"{""x"": 8961, ""y"": 13057, ""z"": -9473}","{""x"": -29698, ""y"": -20992, ""z"": -2817}"
2025-08-20T21:42:01.270Z,"{""x"": 27392, ""y"": 0, ""z"": -20481}","{""x"": 31743, ""y"": -29697, ""z"": 16384}"
2025-08-20T21:42:02.120Z,"{""x"": 14336, ""y"": 6399, ""z"": -20481}","{""x"": 5888, ""y"": 15359, ""z"": 7680}"
2025-08-20T21:42:02.317Z,"{""x"": 16896, ""y"": 19455, ""z"": -27137}","{""x"": -17409, ""y"": 17407, ""z"": 15616}"
